"","name","label","data_type","n_missing","complete_rate","n_unique"
"1","StartDate","Start Date","character",0,1,195
"2","EndDate","End Date","character",0,1,195
"3","Status","Response Type","character",0,1,3
"4","IPAddress","IP Address","character",0,1,1
"5","Progress","Progress","character",0,1,21
"6","Duration (in seconds)","Duration (in seconds)","character",0,1,188
"7","Finished","Finished","character",0,1,2
"8","RecordedDate","Recorded Date","character",0,1,195
"9","ResponseId","Response ID","character",0,1,195
"10","RecipientLastName","Recipient Last Name","character",0,1,1
"11","RecipientFirstName","Recipient First Name","character",0,1,1
"12","RecipientEmail","Recipient Email","character",0,1,1
"13","ExternalReference","External Data Reference","character",0,1,1
"14","LocationLatitude","Location Latitude","character",0,1,1
"15","LocationLongitude","Location Longitude","character",0,1,1
"16","DistributionChannel","Distribution Channel","character",0,1,2
"17","UserLanguage","User Language","character",0,1,2
"18","Q_RecaptchaScore","Q_RecaptchaScore","character",12,0.938461538461538,8
"19","Consent","Consent    I have read the information above and agree to participate under the conditions described. I know that my participation is voluntary and that I can exit the survey at any time (incomplete responses will be saved; if you want us to remove your data entirely, please contact us).","character",7,0.964102564102564,2
"20","Faculty_1","In which UU faculty/faculties do you currently work? Multiple responses possible - Geosciences","character",179,0.0820512820512821,1
"21","Faculty_2","In which UU faculty/faculties do you currently work? Multiple responses possible - Humanities","character",168,0.138461538461538,1
"22","Faculty_3","In which UU faculty/faculties do you currently work? Multiple responses possible - Law Economics and Governance","character",173,0.112820512820513,1
"23","Faculty_4","In which UU faculty/faculties do you currently work? Multiple responses possible - Medicine (UMC Utrecht)","character",191,0.0205128205128206,1
"24","Faculty_5","In which UU faculty/faculties do you currently work? Multiple responses possible - Science","character",151,0.225641025641026,1
"25","Faculty_6","In which UU faculty/faculties do you currently work? Multiple responses possible - Social and Behavioural Sciences","character",153,0.215384615384615,1
"26","Faculty_7","In which UU faculty/faculties do you currently work? Multiple responses possible - Veterinary Medicine","character",171,0.123076923076923,1
"27","Faculty_8","In which UU faculty/faculties do you currently work? Multiple responses possible - Other","character",185,0.0512820512820513,1
"28","Faculty_99","In which UU faculty/faculties do you currently work? Multiple responses possible - None","character",193,0.0102564102564102,1
"29","Not_at_UU","You indicated not to work at Utrecht University. As this questionnaire is aimed at UU researchers wo","character",195,0,0
"30","Dept_Geo_1","In which department(s) do you currently work? Multiple responses possible - Selected Choice - Earth Sciences","character",191,0.0205128205128206,1
"31","Dept_Geo_2","In which department(s) do you currently work? Multiple responses possible - Selected Choice - Physical Geography","character",195,0,0
"32","Dept_Geo_3","In which department(s) do you currently work? Multiple responses possible - Selected Choice - Sustainable Development","character",187,0.041025641025641,1
"33","Dept_Geo_4","In which department(s) do you currently work? Multiple responses possible - Selected Choice - Human Geography and Spatial Planning","character",191,0.0205128205128206,1
"34","Dept_Geo_5","In which department(s) do you currently work? Multiple responses possible - Selected Choice - Other","character",195,0,0
"35","Dept_Geo_5_TEXT","In which department(s) do you currently work? Multiple responses possible - Other, namely: - Text","character",195,0,0
"36","Dept_Humanities_1","In which department(s) do you currently work? Multiple responses possible - Selected Choice - History and Art History","character",189,0.0307692307692308,1
"37","Dept_Humanities_2","In which department(s) do you currently work? Multiple responses possible - Selected Choice - Languages Literature and Communication","character",179,0.0820512820512821,1
"38","Dept_Humanities_3","In which department(s) do you currently work? Multiple responses possible - Selected Choice - Media and Culture Studies","character",191,0.0205128205128206,1
